"卷","章节","日文原版","网翻","台版","X系列","副标题"
"旧约01","序　章","幻想殺しの少年のお話","","关于幻想杀手少年的故事","幻想杀手少年的故事","The_Imagine-Breaker."
"旧约01","第一章","魔術師は塔に降り立つ","","魔法师降临高塔","魔法师降临高塔","FAIR,_Occasionally_GIRL."
"旧约01","第二章","奇術師は終焉を与える","","奇术师带来终焉","奇术师带来终焉","The_7th-Edge."
"旧约01","第三章","魔道書は静かに微笑む","","魔道书静静微笑","魔道书静静微笑","Forget_me_not."
"旧约01","第四章","退魔師は終わりを選ぶ","","退魔师选择终局","退魔师选择终局","(N)Ever_Say_Good_bye."
"旧约01","终　章","禁書目録の少女の結末","","禁书目录少女的结局","禁书目录少女的结局","Index-Librorum-Prohibitorum."
"","","","","","",""
"旧约02","序　章","相変わらずな日々","","不变的日常","不变的日常","The_Beginning_of_The_End."
"旧约02","第一章","ガラスの要塞","","玻璃要塞","玻璃要塞","The_Tower_of_BABEL."
"旧约02","第二章","魔女狩りは炎と共に","","魔女猎捕与火焰同行","魔女猎捕与火焰同行","By_The_Holy_Rood..."
"旧约02","第三章","主は閉じた世界の神のごとく","","主好比封闭世界的神","主好比封闭世界的神","DEUS_EX_MACHINA..."
"旧约02","第四章","殺しの七並べ","","死亡接龙","死亡接龙","Deadly_Sins."
"旧约02","终　章","侵蝕のディープブラッド","","侵蚀的吸血杀手","侵蚀的吸血杀手","Devil_or_God."
"","","","","","",""
"旧约03","序　章","レディオノイズ","","缺陷电力","缺陷电力","Level2"
"旧约03","第一章","イマジンブレカー","","幻想杀手","幻想杀手","Level0(and_More)"
"旧约03","第二章","レディオノイズ","","缺陷电力","缺陷电力","Level2(Product_Model)"
"旧约03","第三章","レールガン","","超电磁炮","超电磁炮","Level5"
"旧约03","第四章","アクセラレータ","","一方通行","一方通行","Level5(Extend)"
"旧约03","终　章","オンリーワン","","独一无二","独一无二","ID_NoT_Found"
"","","","","","",""
"旧约04","序　章","現実世界のパラレルワールド","","现实世界的平行世界","现实世界的平行世界",""
"旧约04","第一章","魔術世界のへクスサスペクト","","魔法世界的咒术嫌犯","魔法世界的咒术嫌犯",""
"旧约04","第二章","戦闘世界のディティクティブ","","战斗世界的推理侦探","战斗世界的推理侦探",""
"旧约04","第三章","有害世界のエンゼルフォール","","有害世界的天使坠落","有害世界的天使坠落",""
"旧约04","第四章","単一世界のラストウィザード","","单一世界的最后巫师","单一世界的最后巫师",""
"旧约04","终　章","日常世界のマイベトレイヤー","","日常世界的背信罪人","日常世界的背信罪人",""
"","","","","","",""
"旧约05","序　章","始まりの夜","","揭幕之夜","揭幕之夜","Good_Bye_Yesterday."
"旧约05","第一章","とある科学の一方通行","","科学的一方通行","某科学的一方通行","Last_Order."
"旧约05","第二章","とあるお嬢の超電磁砲","","大小姐的超电磁炮","某小姐的超电磁炮","Doubt_Lovers."
"旧约05","第三章","とある御坂の最終信号","","御坂的最终信号","某御坂的最终信号","Tender_or_Sugary."
"旧约05","第四章","とある居候の禁書目録","","米虫禁书目录","某食客的禁书目录","Arrow_Made_of_AZUSA."
"旧约05","终　章","終わりの夜","","闭幕之夜","闭幕之夜","Welcome_to_Tomorrow."
"","","","","","",""
"旧约06","序　章","舞台裏の表側","","舞台的表面","后台的表面",""
"旧约06","第一章","始業式","","开学式","开学式","Baby_Queen."
"旧约06","第二章","放課後","","下课后","下课后","Break_Time."
"旧约06","第三章","閉鎖化","","封闭化","封闭化","Battle_Cry."
"旧约06","第四章","終止符","","休止符","休止符","Beast_Body,Human_Heart."
"旧约06","终　章","表舞台の裏側","","舞台的内幕","前台的内幕",""
"","","","","","",""
"旧约07","序　章","行動開始","","行动开始","行动开始","The_Page_is_Opened."
"旧约07","第一章","学園都市","","学园都市","学园都市","Science_Worship."
"旧约07","第二章","ローマ正教","","罗马正教","罗马正教","The_Roman_Catholic_Church."
"旧约07","第三章","イギリス清教","","英国清教","英国清教","Anglican_Church."
"旧约07","第四章","天草式十字凄教","","天草式十字凄教","天草式十字凄教","AMAKUSA_Style_Remix_of_Church."
"旧约07","终　章","行動終了","","行动结束","行动结束","The_Page_is_Shut."
"","","","","","",""
"旧约08","序　章","五本の指の一本","","屈指可数","屈指可数的少女","A_TOKIWA-DAI's_World."
"旧约08","第一章","彼女達の放課後","","少女们的放学时光","放学之后的少女","After_School_of_Angels."
"旧约08","第二章","向き合う乙女達","","少女的对决","对决之中的少女","Space_and_Point."
"旧约08","第三章","残骸が秘める光","","残骸秘藏之光","残骸隐藏的光芒","Remnant."
"旧约08","第四章","決着をつける者","","终结者","将一切终结的人","Break_or_Crash?"
"旧约08","终　章","それぞれの日々","","各自的日常生活","各自的日常生活","One_Place,One_Scene."
"","","","","","",""
"旧约09","序　章","第三者から見た準備時間","","第三者眼中的准备时间","在第三者眼中的准备时间","Parent's_View_Point."
"旧约09","第一章","炎天下の中での開始合図","","大热天的开始信号","烈日炎炎之下的开始信号","Commence_Hostilies."
"旧约09","第二章","魔術師と能力者の競技場","","魔法师与超能力者的竞技场","魔法师与能力者的竞技场","Stab_Sword."
"旧约09","第三章","追う者と逃げる者の戦略","","追兵与逃亡者的战略","追兵与逃亡者之间的战略","Worst_Counter."
"旧约09","第四章","戰いの結末は勝利か否か","","战争的结局是胜是败","这场战争的结局是胜是败","Being_Unsettled."
"旧约10","第五章","緊張の糸の上の休憩時間","紧张的线的上的休息时间","紧张线上的休息时间","这是紧张线上的休息时间","Resumption_of_Hostilities."
"旧约10","第六章","追撃の再開とその終わり","","追击的再开与结束","追击的再次展开与其结束","Accidental_Firing."
"旧约10","第七章","倒すべき敵、守るべき者","","该打倒的敌人，该守护的人","该打倒之敌，该守护之人","Parabolic_Antenna."
"旧约10","第八章","右の拳を握り締める理由","","握紧右拳的理由","紧紧握住自己右拳的理由","Light_of_a_Night_Sky."
"旧约10","终　章","終わった後に待つもの達","","战争结束后等待的人们","在战争结束后等待的人们","Those_Who_Hold_Out_a_Hand."
"","","","","","",""
"旧约11","序　章","北イタリアの旅行","","北意大利的旅行","去北意大利的旅行","Un_Viaggio_in_Italia."
"旧约11","第一章","キオッジアの街並","","基奥贾的街道","位于基奥贾的街道","Il_Vento_di_Chioggia."
"旧约11","第二章","ロンドンへの準備","","前往伦敦的准备","动身去伦敦的准备","Un_Frammento_di_un_Piano."
